Date & Time,Host name,Java version,JobRunr type,JobRunr version,StorageProvider,amount of created jobs,amount of succeeded jobs,creation duration,processing duration,job throughput (jobs / sec)
2025-10-16T11:51:31.970353119Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),MySqlStorageProvider,500010,547844,PT1M41.06248942S,PT10M55.317262914S,836.40
2025-10-16T12:05:04.249333253Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),OracleStorageProvider,500010,551950,PT2M37.920435613S,PT12M19.162423364S,746.89
2025-10-16T12:21:18.171157783Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),PostgresStorageProvider,500010,517805,PT38.022824262S,PT3M14.482474002S,2669.10
2025-10-16T12:25:17.011681168Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),SQLServerStorageProvider,500010,387316,PT1M10.499146679S,PT15M0.643640168S,430.35

2025-10-16T12:46:21.605239140Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),MariaDbStorageProvider,500010,241252,PT57.701084122S,PT15M0.65545316S,268.06
2025-10-16T13:02:48.267866487Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),MongoDBStorageProvider,500010,554338,PT53.403205392S,PT9M38.733597847S,959.06
2025-10-16T13:13:27.487991353Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),MySqlStorageProvider,500010,225436,PT2M14.371134471S,PT15M0.304544654S,250.48
2025-10-16T13:31:55.360016306Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),OracleStorageProvider,500010,241888,PT2M24.296398733S,PT15M0.068503324S,268.76
2025-10-16T13:50:28.619897261Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),PostgresStorageProvider,500010,537807,PT39.241910717S,PT7M18.410151225S,1227.87
2025-10-16T13:58:32.061909959Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.3 (master),SQLServerStorageProvider,500010,106470,PT1M52.589909844S,PT15M0.029211287S,118.30
